Song Name,Vibe,Energy,Danceability,Happiness,Loudness
Dua Lipa - Levitating,Party,83,70,92,-4 dB
Mark Ronson - Uptown Funk,Party,,,,
Black Eyed Peas - I Gotta Feeling,Party,0,0,0,0
Taylor Swift - Shake It Off,Party,79,65,94,-5 dB
Katy Perry - Firework,Party,,,,
Beyoncé - Single Ladies,Party,58,43,27,-5 dB
Pitbull - Timber,Party,96,58,79,-4 dB
Ke$ha - TiK ToK,Party,84,76,71,-3 dB
Usher - Yeah!,Party,,,,
Rihanna - We Found Love,Party,,,,
Icona Pop - I Love It,Party,0,0,0,0
Cardi B - I Like It,Party,0,0,0,0
Glass Animals - Heat Waves,Party,,,,
Clean Bandit - Rather Be,Party,59,80,55,-7 dB
Fifth Harmony - Work from Home,Party,,,,
Luis Fonsi - Despacito,Party,80,66,84,-5 dB
Devi Sri Prasad - Oo Antava Mava,Party,74,93,51,-7 dB
Sid Sriram - Srivalli,Party,58,82,68,-6 dB
Vishal Dadlani - Swag Se Swagat,Party,56,83,21,-8 dB
Neha Kakkar - Dilbar,Party,91,73,67,-4 dB
Badshah - Kala Chashma,Party,86,80,92,-4 dB
Guru Randhawa - Lahore,Party,,,,
Diljit Dosanjh - Lover,Party,59,83,77,-6 dB
AP Dhillon - Brown Munde,Party,61,85,42,-6 dB
Yo Yo Honey Singh - Lungi Dance,Party,96,68,82,-5 dB
Vishal Dadlani - Malhari,Party,93,50,32,-5 dB
Panjabi MC - Mundian To Bach Ke,Party,,,,
Ricky Martin - Livin' La Vida Loca,Party,95,43,93,-4 dB
Pitbull - Fireball,Party,93,76,84,-5 dB
Don Omar - Danza Kuduro,Party,92,40,87,-5 dB
Sean Paul - Temperature,Party,60,95,82,-5 dB
Shaggy - It Wasn't Me,Party,61,85,65,-5 dB
Black Eyed Peas - Pump It,Party,93,65,74,-3 dB
Lady Gaga - Bad Romance,Party,92,70,71,-4 dB
Rihanna - S&M,Party,69,77,84,-5 dB
Katy Perry - Roar,Party,77,67,44,-5 dB
Bruno Mars - Uptown Funk,Party,,,,
Justin Bieber - Baby,Party,,,,
Psy - Gangnam Style,Party,,,,
